Company,Symbol,Sector,SecurityId,1Y Return %,6M Return %,1M Return %,1W Return %,1D Return %,PDH,PDL,PDC,Trend
NLC India Ltd.,NLCINDIA,Power,8585,18.76526759937818,5.921964745494153,-10.23833501174891,-2.087147564994524,-1.1825572801182724,272.05,268.4,270.6,MIXED
NMDC Ltd.,NMDC,Metals & Mining,15332,28.197674418604663,8.540487324636963,3.715898400752583,2.6775320139697287,1.6597510373443956,87.59,86.0,86.76,BULLISH
NMDC Steel Ltd.,NSLNISP,Metals & Mining,14180,22.1311475409836,15.880582037129951,7.36866573686656,15.302046929605579,-5.7731538147694925,49.4,44.78,49.02,BULLISH
NTPC Green Energy Ltd.,NTPCGREEN,Power,27176,-13.054881010199123,2.0289524677989297,-0.5775852493613196,-2.1106736657917677,-1.4424135652939751,91.45,90.75,90.82,MIXED
NTPC Ltd.,NTPC,Power,11630,-0.04579453518547828,-13.283008872996962,-5.7163426925846,-3.56406480117821,-0.8029086502045247,333.1,328.8,330.05,BEARISH
Narayana Hrudayalaya Ltd.,NH,Healthcare,11840,8.746721404949257,6.726357022943483,-6.0122215651488276,2.5486611463598288,-1.2887531701257628,1940.0,1905.9,1932.1,MIXED
National Aluminium Co. Ltd.,NATIONALUM,Metals & Mining,6364,104.90922762917604,5.139864957971607,8.984430795600625,-5.405405405405408,-3.4054943663754873,394.95,389.3,394.95,MIXED
Nava Ltd.,NAVA,Power,4014,-17.379290285049446,-1.4997832683138237,2.64703225223597,0.19400352733686468,0.5753739930955121,586.4,559.0,564.85,MIXED
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,14672,85.07733333333334,38.38730260009571,14.641559299636603,5.9667765970440945,1.8550044027003227,8591.0,8470.5,8517.5,BULLISH
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,17963,29.43262411347517,16.941470657185274,-0.8677795442501265,1.7127710188268908,2.8805169806132334,1456.5,1438.0,1454.6,MIXED
Netweb Technologies India Ltd.,NETWEB,Information Technology,17433,135.03352056531983,40.04318488529016,14.690539345711768,-4.87487395728297,-2.5230607375678535,5450.0,5290.0,5322.9,MIXED
Neuland Laboratories Ltd.,NEULANDLAB,Healthcare,2406,71.01449275362319,75.70250458155162,20.83180171191514,0.45841519318926005,-0.8403361344537815,23876.0,23100.0,23205.0,BULLISH
Newgen Software Technologies Ltd.,NEWGEN,Information Technology,1164,-40.12115036231884,8.415334153341536,-4.831743746625881,0.08516275548827508,-6.744842179509786,575.9,524.7,567.1,MIXED
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services,357,49.38515450780503,29.758149316508923,0.9385224728775498,-6.0506491424907844,-1.8503014065639767,1209.4,1185.0,1194.4,MIXED
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,Financial Services,27097,-0.3189401373895865,10.10840108401085,-6.608435811975634,-1.514967882680887,-0.6601466992664939,83.0,81.5,81.8,MIXED
Nuvama Wealth Management Ltd.,NUVAMA,Financial Services,18721,37.34335839598997,45.346042271031905,-2.7830136378755985,0.20571428571428052,-2.847645429362886,1825.0,1782.0,1805.0,MIXED
Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials,5426,-30.073456857800686,0.3619197482297332,-7.471347744088205,-0.530255770430457,-1.8316145913498676,327.55,321.0,324.85,MIXED
Oberoi Realty Ltd.,OBEROIRLTY,Realty,20242,15.967221256518505,25.310256926276242,2.204957049844064,-0.10695187165775401,-0.10695187165775401,1880.8,1855.7,1870.0,MIXED
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels,2475,-0.8172521501005505,-17.85967399007795,-4.424194944955259,-2.0080321285140563,-0.1937567276641501,233.39,231.25,232.25,BEARISH
Oil India Ltd.,OIL,Oil Gas & Consumable Fuels,17438,23.789392774788613,-1.0039954922651437,5.353249018752716,1.2893081761006242,0.06213109661384581,484.7,471.75,482.85,MIXED
Ola Electric Mobility Ltd.,OLAELEC,Automobile and Auto Components,24777,-23.922294172062905,70.7641196013289,6.363166063114332,10.093708165997311,5.4899948691636755,39.77,37.45,38.98,MIXED
Olectra Greentech Ltd.,OLECTRA,Automobile and Auto Components,10637,-17.215665931785757,35.631573355997034,-3.5870714393596135,-1.6106658446362412,-2.7127943305646505,1335.7,1303.7,1312.3,MIXED
One 97 Communications Ltd.,PAYTM,Financial Services,6705,42.261806130903054,62.08231074192937,27.855547282204014,5.765321835540494,4.009933975407343,1698.3,1641.7,1650.9,BULLISH
Onesource Specialty Pharma Ltd.,ONESOURCE,Healthcare,29224,-19.71778881724977,16.00610920198548,-6.211026733345689,-0.8290899595247451,-0.8549797676543621,1539.5,1520.0,1532.2,MIXED
Oracle Financial Services Software Ltd.,OFSS,Information Technology,10738,51.20274914089347,83.11915887850468,12.104416234578938,8.873068241014066,2.871205906480722,12275.0,11876.0,12190.0,BULLISH
PB Fintech Ltd.,POLICYBZR,Financial Services,6656,5.884346058278747,27.646538225883305,17.07773961910709,5.042016806722689,3.5053822798785537,1844.8,1804.8,1811.5,BULLISH
PCBL Chemical Ltd.,PCBL,Chemicals,2649,-14.668281523348137,7.456363328249449,-0.2673796791443743,-1.2920298879202918,-1.567836075752875,326.8,321.15,322.1,MIXED
PG Electroplast Ltd.,PGEL,Consumer Durables,25358,8.9851810166948,-5.880447108375176,-5.274313198010927,-2.680067001675042,-0.827856959972693,598.7,584.15,585.85,MIXED
PI Industries Ltd.,PIIND,Chemicals,24184,-35.855797336797664,-23.533587145899208,-13.855772026751955,-4.242424242424243,-2.0701623899838815,2493.7,2420.1,2420.1,BEARISH
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services,18908,52.42834394904459,41.23939505717449,9.077960307663103,-1.3991416309012836,-1.8121206940764207,1189.3,1158.0,1169.9,MIXED
PTC Industries Ltd.,PTCIL,Capital Goods,16682,57.83313111126972,22.794158476317396,24.677228392625587,2.039497969730528,0.018091361374943465,22215.0,20622.0,22110.0,BULLISH
PVR INOX Ltd.,PVRINOX,Media Entertainment & Publication,13147,7.839985713010085,18.821330184966556,6.819387935609424,-1.9564864426043116,-1.0811696289622446,1242.8,1215.1,1220.9,MIXED
Page Industries Ltd.,PAGEIND,Textiles,14413,-19.251155971580015,14.83560545308741,-11.3312693498452,0.6749156355455568,-0.5141030985132694,35985.0,35510.0,35985.0,MIXED
Paradeep Phosphates Ltd.,PARADEEP,Chemicals,9741,-26.391316346242295,39.7241138466911,8.62689201113146,7.12182061579651,-3.520617313720764,168.0,161.35,165.88,MIXED
Patanjali Foods Ltd.,PATANJALI,Fast Moving Consumer Goods,17029,-41.775099994936966,-31.38424821002387,-2.7072758037225104,-1.4285714285714286,-0.9900990099009868,349.8,345.35,348.45,BEARISH
Persistent Systems Ltd.,PERSISTENT,Information Technology,18365,5.447177457355575,19.709419266486936,0.8199675617228329,-1.747453459782227,-4.774468085106383,5910.0,5677.0,5875.0,MIXED
Petronet LNG Ltd.,PETRONET,Oil Gas & Consumable Fuels,11351,11.539888682745834,-2.608132188563083,7.07034728406056,1.571211353269145,2.9452054794520626,292.85,290.05,292.0,MIXED
Pfizer Ltd.,PFIZER,Healthcare,2643,-9.146625290923204,-4.623842003461272,-2.8918509919359856,-4.03769333196764,-0.4124325013818731,4778.4,4690.1,4703.8,BEARISH
Phoenix Mills Ltd.,PHOENIXLTD,Realty,14552,26.39701969132517,15.249302438432617,0.35387946970897616,-1.6563146997929608,-0.8868022952529996,1923.9,1896.0,1917.0,MIXED
Pidilite Industries Ltd.,PIDILITIND,Chemicals,2664,10.657968068714549,15.162060730126239,4.735013032145957,1.6686746987951833,3.5716477447069686,1658.5,1617.0,1629.5,BULLISH
Piramal Pharma Ltd.,PPLPHARMA,Healthcare,11571,16.877453118185787,40.3049538642759,9.60584837176013,1.5391901491830453,-1.9571977318456195,220.0,214.61,218.68,BULLISH
Poly Medicure Ltd.,POLYMED,Healthcare,25718,-15.622902081135523,33.91171993911719,3.3842538190364224,1.2894312687082583,1.5349105597230184,1741.0,1681.7,1733.0,MIXED
Polycab India Ltd.,POLYCAB,Capital Goods,9590,33.19701029473981,10.48721998011347,3.7171251304013615,4.318533244974597,3.928257042253521,9103.0,9013.5,9088.0,BULLISH
